City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Saldanha,ZA,-33.01,17.94,59.0,77,33,5.82,scattered clouds,0.0,0.0
1,Butaritari,KI,3.07,172.79,82.99,75,5,18.03,clear sky,0.0,0.0
2,Ushuaia,AR,-54.8,-68.3,37.4,64,75,14.99,broken clouds,0.0,0.0
3,Machinga,MW,-15.17,35.3,67.24,60,28,2.73,scattered clouds,0.0,0.0
4,New Norfolk,AU,-42.78,147.06,37.99,93,89,2.57,overcast clouds,0.0,0.0
5,Albany,US,42.6,-73.97,68.0,90,100,2.19,light rain,0.51,0.0
6,Quelimane,MZ,-17.88,36.89,73.4,88,0,5.82,clear sky,0.0,0.0
7,Hermanus,ZA,-34.42,19.23,55.99,82,76,3.0,light rain,0.11,0.0
8,Busselton,AU,-33.65,115.33,61.0,73,100,23.87,light rain,0.57,0.0
9,Ust-Tsilma,RU,65.44,52.15,43.07,87,35,4.68,scattered clouds,0.0,0.0
10,Mawlaik,MM,23.63,94.42,77.41,92,98,0.87,overcast clouds,0.0,0.0
11,Port Alfred,ZA,-33.59,26.89,66.88,39,92,24.47,overcast clouds,0.0,0.0
12,Lerwick,GB,60.15,-1.15,57.2,100,100,14.99,light rain,0.0,0.0
13,Xicotencatl,MX,23.02,-98.88,91.99,52,33,8.99,scattered clouds,0.0,0.0
14,Yerbogachen,RU,61.28,108.01,59.92,80,71,1.86,broken clouds,0.0,0.0
15,Bathsheba,BB,13.22,-59.52,87.8,62,20,23.04,few clouds,0.0,0.0
16,Bredasdorp,ZA,-34.53,20.04,59.0,67,19,19.46,few clouds,0.0,0.0
17,Sabha,LY,27.04,14.43,87.39,14,0,11.59,clear sky,0.0,0.0
18,Hobart,AU,-42.88,147.33,39.2,93,94,5.82,overcast clouds,0.0,0.0
19,Katsuura,JP,35.13,140.3,75.2,94,75,9.17,shower rain,0.0,0.0
20,Samarai,PG,-10.62,150.67,78.22,84,100,17.18,overcast clouds,0.0,0.0
21,Nyurba,RU,63.28,118.33,60.15,85,17,0.69,light rain,0.13,0.0
22,Atuona,PF,-9.8,-139.03,79.74,74,0,13.04,clear sky,0.0,0.0
23,Hithadhoo,MV,-0.6,73.08,84.83,73,44,8.19,scattered clouds,0.0,0.0
24,Cape Town,ZA,-33.93,18.42,61.0,62,40,9.17,scattered clouds,0.0,0.0
25,Porbandar,IN,21.64,69.61,86.5,77,100,15.28,overcast clouds,0.0,0.0
26,Ponta Do Sol,PT,32.67,-17.1,70.0,69,12,5.01,few clouds,0.0,0.0
27,Porto Novo,BJ,6.5,2.6,80.6,83,40,14.99,scattered clouds,0.0,0.0
28,Seydi,TM,39.48,62.91,71.6,20,0,12.12,clear sky,0.0,0.0
29,Allen,US,41.07,-85.01,81.0,74,75,17.22,broken clouds,0.0,0.0
30,Saint George,US,37.1,-113.58,96.8,11,1,9.17,clear sky,0.0,0.0
31,Mataura,NZ,-46.19,168.86,39.0,83,100,3.0,overcast clouds,0.0,0.0
32,Barrow,US,71.29,-156.79,59.0,58,1,14.99,clear sky,0.0,0.0
