City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Albany,US,68.0,light rain,42.6,-73.97,**No lodging found**
7,Hermanus,ZA,55.99,light rain,-34.42,19.23,Misty Waves Boutique Hotel
8,Busselton,AU,61.0,light rain,-33.65,115.33,Observatory Guest House
21,Nyurba,RU,60.15,light rain,63.28,118.33,Gostinitsa Alrosa
40,Dunedin,NZ,50.0,light rain,-45.87,170.5,Scenic Hotel Southern Cross
57,Grafton,US,73.0,moderate rain,42.21,-71.69,The Grafton Inn
63,Bac Lieu,VN,79.16,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
73,Nakamura,JP,74.01,moderate rain,32.98,132.93,Hotel Crown Hills Nakamura
81,Klaksvik,FO,62.6,light rain,62.23,-6.59,Airbnb rooms
84,Kaitangata,NZ,50.0,light rain,-46.28,169.85,Kaitangata Motor Camp
114,Swinoujscie,PL,77.0,moderate rain,53.91,14.25,Hotel Interferie Medical SPA
136,Ogbomosho,NG,75.04,light rain,8.13,4.25,Living Soul Garden Hotel
142,Tura,IN,74.19,moderate rain,25.52,90.22,Hotel RIKMAN Continental
154,Torbay,CA,57.0,mist,47.67,-52.73,Gallows Cove
167,Kruisfontein,ZA,55.62,light rain,-34.0,24.73,Oyster Bay House Rental
178,Shingu,JP,71.49,heavy intensity rain,33.73,135.98,Shingu UI Hotel
198,Waipawa,NZ,54.0,light rain,-41.41,175.52,Tora Coastal Walk
209,Bengbu,CN,73.85,moderate rain,32.94,117.36,Howard Johnson Nanshan Plaza
220,Westport,US,73.99,moderate rain,41.14,-73.36,The Westport Inn
221,Bethel,US,70.0,heavy intensity rain,41.37,-73.41,Courtyard by Marriott Danbury
242,Numaligarh,IN,76.08,light rain,26.63,93.75,Mumai Hotel
287,Winsum,NL,72.0,light rain,53.33,6.52,Eetcafe Beuving
316,Perevolotskiy,RU,61.72,light rain,51.88,54.19,GRAND OASIS
323,Khandbari,NP,75.36,light rain,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
336,Chara,RU,55.04,light rain,56.91,118.26,**No lodging found**
346,Saint Austell,GB,60.01,light rain,50.34,-4.77,The Cornwall Hotel & Spa
376,Xichang,CN,69.46,moderate rain,27.9,102.26,Xichang ibis Hotel
389,High Prairie,CA,61.45,light rain,55.43,-116.49,Royal Star Motor Inn
407,Northam,GB,57.99,light rain,51.03,-4.22,Durrant House Hotel
413,Yaan,NG,76.95,light rain,7.38,8.57,**No lodging found**
426,Ullapool,GB,62.01,light rain,57.9,-5.16,Argyll Hotel
436,Xuanzhou,CN,76.93,light rain,30.95,118.76,Nanfang Hotel
444,Shenjiamen,CN,75.49,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
455,Namatanai,PG,78.6,light rain,-3.67,152.43,Namatanai Hotel
484,Lenggries,DE,66.0,moderate rain,47.68,11.57,Arabella Brauneck Hotel
488,Wakkanai,JP,55.6,moderate rain,45.41,141.67,Hyōsetsu-sō
550,Sol-Iletsk,RU,61.86,light rain,51.16,54.99,Raduzhnaya
553,Portree,GB,55.99,moderate rain,57.41,-6.19,The Royal Hotel
