City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2020-06-25 02:26:06,55.74,-97.86,77.0,31,75,5.82
1,Nikolskoye,RU,2020-06-25 02:26:06,59.7,30.79,64.0,67,57,6.71
2,Rikitea,PF,2020-06-25 02:26:06,-23.12,-134.97,70.97,56,93,7.14
3,Farkhor,TJ,2020-06-25 02:26:06,37.49,69.4,82.4,41,20,4.47
4,Dikson,RU,2020-06-25 02:26:06,73.51,80.55,42.91,88,100,11.63
5,Sur,OM,2020-06-25 02:26:06,22.57,59.53,83.79,78,0,7.18
6,Atuona,PF,2020-06-25 02:26:06,-9.8,-139.03,79.34,69,36,13.73
7,Talnakh,RU,2020-06-25 02:26:06,69.49,88.4,59.0,77,68,4.47
8,Mataura,NZ,2020-06-25 02:26:07,-46.19,168.86,52.27,69,0,9.31
9,Pevek,RU,2020-06-25 02:26:07,69.7,170.31,32.88,93,100,4.83
10,Rochegda,RU,2020-06-25 02:26:07,62.8,43.25,45.7,69,73,2.19
11,New Norfolk,AU,2020-06-25 02:26:07,-42.78,147.06,55.99,94,21,1.01
12,Albany,US,2020-06-25 02:26:07,42.6,-73.97,72.0,80,1,4.74
13,Faya,SA,2020-06-25 02:26:07,18.39,42.45,69.8,24,0,5.66
14,Akyab,MM,2020-06-25 02:26:07,20.15,92.9,84.16,79,99,2.3
15,Busselton,AU,2020-06-25 02:26:07,-33.65,115.33,62.01,50,99,10.58
16,Port Elizabeth,ZA,2020-06-25 02:25:25,-33.92,25.57,60.8,29,0,8.05
17,Kruisfontein,ZA,2020-06-25 02:26:07,-34.0,24.73,64.58,27,0,16.46
18,Castro,BR,2020-06-25 02:26:07,-24.79,-50.01,57.27,91,0,4.72
19,Basna,IN,2020-06-25 02:26:07,21.28,82.82,87.82,56,47,6.17
20,East London,ZA,2020-06-25 02:26:07,-33.02,27.91,67.53,26,0,7.0
21,Dubbo,AU,2020-06-25 02:26:07,-32.25,148.62,53.6,81,90,9.17
22,Jamestown,US,2020-06-25 02:26:07,42.1,-79.24,57.2,71,1,4.97
23,Nanortalik,GL,2020-06-25 02:26:08,60.14,-45.24,42.94,80,100,4.76
24,Tuktoyaktuk,CA,2020-06-25 02:26:08,69.45,-133.04,42.8,75,75,12.75
25,Avarua,CK,2020-06-25 02:26:08,-21.21,-159.78,73.4,88,58,6.93
26,Merauke,ID,2020-06-25 02:25:05,-8.47,140.33,82.42,77,23,14.65
27,Kuhdasht,IR,2020-06-25 02:26:08,33.53,47.61,69.51,23,0,2.21
28,Liverpool,GB,2020-06-25 02:26:08,53.41,-2.98,68.0,93,0,3.36
29,Vila Franca Do Campo,PT,2020-06-25 02:26:08,37.72,-25.43,60.8,77,40,8.05
30,Hailey,US,2020-06-25 02:22:16,43.52,-114.32,77.0,31,40,17.22
31,Bambous Virieux,MU,2020-06-25 02:26:08,-20.34,57.76,71.01,94,75,14.99
32,Esperance,AU,2020-06-25 02:26:08,-33.87,121.9,59.0,62,0,9.17
33,Henties Bay,NA,2020-06-25 02:26:08,-22.12,14.28,64.92,44,0,3.44
34,Chokurdakh,RU,2020-06-25 02:24:05,70.63,147.92,78.67,30,0,11.7
35,Cootamundra,AU,2020-06-25 02:26:08,-34.65,148.03,50.0,95,89,6.06
36,Bengkulu,ID,2020-06-25 02:26:08,-3.8,102.27,82.22,63,13,0.89
37,Churapcha,RU,2020-06-25 02:26:08,62.0,132.43,77.7,31,0,8.03
38,Fuling,CN,2020-06-25 02:26:08,29.7,107.39,85.55,65,0,2.21
39,Cherskiy,RU,2020-06-25 02:26:08,68.75,161.3,64.22,31,86,6.22
40,Fairbanks,US,2020-06-25 02:26:08,64.84,-147.72,64.4,48,75,3.36
41,Kodiak,US,2020-06-25 02:26:08,57.79,-152.41,55.4,76,75,12.75
42,Kiruna,SE,2020-06-25 02:26:09,67.86,20.23,51.8,71,77,5.82
43,Airai,TL,2020-06-25 02:26:09,-8.93,125.41,68.81,74,70,4.14
44,Kieta,PG,2020-06-25 02:26:09,-6.22,155.63,86.05,57,0,7.09
45,Cairns,AU,2020-06-25 02:25:38,-16.92,145.77,81.0,57,75,14.99
46,Nuevo Ideal,MX,2020-06-25 02:26:09,24.89,-105.07,70.92,42,75,5.73
47,Severo-Kurilsk,RU,2020-06-25 02:26:09,50.68,156.12,52.97,76,39,8.23
48,Butaritari,KI,2020-06-25 02:26:09,3.07,172.79,84.18,75,32,12.97
49,Westport,US,2020-06-25 02:26:09,41.14,-73.36,78.8,41,1,8.05
50,Ushuaia,AR,2020-06-25 02:26:09,-54.8,-68.3,35.6,89,75,11.41
51,Bria,CF,2020-06-25 02:26:09,6.54,21.99,69.03,96,98,8.43
52,Saskylakh,RU,2020-06-25 02:26:09,71.92,114.08,86.4,21,41,5.3
53,Okato,NZ,2020-06-25 02:26:09,-39.2,173.88,51.01,84,100,17.0
54,Ribeira Grande,PT,2020-06-25 02:26:09,38.52,-28.7,63.48,68,0,6.71
55,Katobu,ID,2020-06-25 02:26:09,-4.94,122.53,83.77,68,90,5.48
56,Bacon,PH,2020-06-25 02:26:10,13.04,124.04,86.31,73,91,7.63
57,Puerto Ayora,EC,2020-06-25 02:26:10,-0.74,-90.35,70.0,93,59,5.79
58,Adrar,MR,2020-06-25 02:26:10,20.5,-10.07,94.62,16,0,9.71
59,Qaanaaq,GL,2020-06-25 02:26:10,77.48,-69.36,37.38,77,0,3.56
60,Bethel,US,2020-06-25 02:24:57,41.37,-73.41,70.0,68,1,3.36
61,Fortuna,US,2020-06-25 02:26:10,40.6,-124.16,63.0,93,75,13.87
62,Channarayapatna,IN,2020-06-25 02:26:10,12.9,76.39,72.0,82,100,4.83
63,Ust-Maya,RU,2020-06-25 02:26:10,60.42,134.53,77.56,32,0,5.01
64,Khorixas,NA,2020-06-25 02:26:10,-20.37,14.97,56.59,38,0,9.17
65,Egvekinot,RU,2020-06-25 02:26:10,66.32,-179.17,35.96,85,100,3.96
66,Seoul,KR,2020-06-25 02:22:12,37.57,126.98,73.4,88,90,8.05
67,Bandundu,CD,2020-06-25 02:26:10,-3.32,17.37,74.16,51,7,3.94
68,Gao,ML,2020-06-25 02:24:20,16.64,1.64,91.87,21,0,4.92
69,Lavrentiya,RU,2020-06-25 02:26:10,65.58,-171.0,38.05,77,99,0.85
70,Bluff,NZ,2020-06-25 02:26:10,-46.6,168.33,51.75,76,2,17.13
71,General Pico,AR,2020-06-25 02:25:05,-35.66,-63.76,42.28,88,0,6.62
72,Yar-Sale,RU,2020-06-25 02:26:11,66.83,70.83,51.66,60,94,9.01
73,San Carlos De Bariloche,AR,2020-06-25 02:26:11,-41.15,-71.31,35.6,69,40,11.41
74,Port Alfred,ZA,2020-06-25 02:26:11,-33.59,26.89,68.0,29,0,5.01
75,Oistins,BB,2020-06-25 02:24:30,13.07,-59.53,82.4,74,20,23.04
76,Olafsvik,IS,2020-06-25 02:26:11,64.89,-23.71,46.29,91,25,11.03
77,Geraldton,AU,2020-06-25 02:26:11,-28.77,114.6,62.6,59,0,14.99
78,Obo,CF,2020-06-25 02:26:11,5.4,26.49,66.58,94,100,3.94
79,Fayaoue,NC,2020-06-25 02:26:11,-20.65,166.53,72.0,73,64,7.99
80,Evensk,RU,2020-06-25 02:26:11,61.95,159.23,58.24,62,11,7.72
81,Cabo San Lucas,MX,2020-06-25 02:26:11,22.89,-109.91,87.8,25,5,12.75
82,Kapaa,US,2020-06-25 02:26:11,22.08,-159.32,82.4,69,40,12.75
83,Lebu,CL,2020-06-25 02:26:11,-37.62,-73.65,45.3,85,0,4.88
84,Husavik,IS,2020-06-25 02:26:11,66.04,-17.34,53.6,71,33,17.22
85,Vaini,TO,2020-06-25 02:26:11,-21.2,-175.2,77.0,73,75,8.05
86,Victoria,HK,2020-06-25 02:26:11,22.29,114.16,89.01,72,100,5.01
87,Yulara,AU,2020-06-25 02:26:11,-25.24,130.99,62.6,29,98,6.93
88,Hithadhoo,MV,2020-06-25 02:26:11,-0.6,73.08,83.89,75,99,9.82
89,Inirida,CO,2020-06-25 02:26:12,3.87,-67.92,73.63,95,98,1.28
90,Ostrovnoy,RU,2020-06-25 02:26:12,68.05,39.51,45.54,76,95,5.97
